127.0.0.1 - - [13/Jan/2019:17:27:17 +0100] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [13/Jan/2019:17:27:50 +0100] "GET /Acme-Handy-Worker/ HTTP/1.1" 200 2382
127.0.0.1 - - [13/Jan/2019:17:27:54 +0100] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [13/Jan/2019:17:27:58 +0100] "GET /Acme-Handy-Worker/security/login.do HTTP/1.1" 200 2692
127.0.0.1 - - [13/Jan/2019:17:28:10 +0100] "POST /Acme-Handy-Worker/j_spring_security_check HTTP/1.1" 302 -
127.0.0.1 - - [13/Jan/2019:17:28:10 +0100] "GET /Acme-Handy-Worker/ HTTP/1.1" 200 2741
127.0.0.1 - - [13/Jan/2019:17:28:45 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3431
127.0.0.1 - - [13/Jan/2019:17:29:10 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3431
127.0.0.1 - - [13/Jan/2019:17:29:33 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3434
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:29:34 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3431
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:30:10 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:32:49 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 500 30750
127.0.0.1 - - [13/Jan/2019:17:32:57 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do HTTP/1.1" 200 3431
127.0.0.1 - - [13/Jan/2019:17:32:57 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:32:57 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:32:57 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:32:57 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:32:57 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
